sku;image_url
416127;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16127i51-9ac232112f36d179a316885167716115-1024-1024.jpg
416127;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16127i61-8f6e3cd947593f893c16885167715011-1024-1024.jpg
416127;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16127i71-6086f9521362a0cd6616885167715738-1024-1024.jpg
416127;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16127i81-09d8654507316c5c0e16885167715705-1024-1024.jpg
416127;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16127i91-bdcefbf970ba8d325816885167717377-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/161281-458818050b5f8c908116885167870723-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16128i101-79784bf96d110263b116885167875689-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16128i111-8596dda3e76e54db7316885167875572-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16128i12-509a14e528832b48d616885167871615-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16128i21-6725464b396ef50f5716885167872898-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16128i31-d1acb92fa340fc97f416885167871832-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16128i41-f3516fc8bedf176df216885167873100-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16128i51-abbdda319e97f8454116885167872648-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16128i61-1182c78d204b215c8516885167874209-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16128i71-8dc248e9461a15bb5516885167875266-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16128i81-eee60b4d9aef25237716885167874619-1024-1024.jpg
416128;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16128i91-6f4f4ace2744af033e16885167875126-1024-1024.jpg
416129;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/161291-99039901a79599fa9e16885167919173-1024-1024.jpg
416129;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16129i101-56479ce76750a0812816885167925109-1024-1024.jpg
416129;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16129i111-09b4612c60ea4fc1cd16885167925699-1024-1024.jpg
416129;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16129i12-4f0e6ca8ffb570ab8916885167919518-1024-1024.jpg
416129;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16129i21-07b2c42f1c5062213816885167918421-1024-1024.jpg
416129;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/16129i31-ea7e013dea589375d616885167920339-1024-1024.jpg
