sku;image_url
6054001;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-01-blanco-de-titanio-x-50-ml11-2136a459e2245d1fa416841725297734-1024-1024.jpg
6054002;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-02-blanco-calido-x-50-ml11-0134d567ba211bcb3a16841725297536-1024-1024.jpg
6054003;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-03-amarillo-napoles-x-50-ml11-837a2ab4348e47afd916841725297756-1024-1024.jpg
6054004;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-04-sambayon-x-50-ml11-b3a213a024579aff1316841725298474-1024-1024.jpg
6054005;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-05-hueso-x-50-ml11-5e6e59746b2a9a9b0516841725300372-1024-1024.jpg
6054006;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-06-amarillo-bebe-x-50-ml11-5cede8cd2f66d5d07c16841725299194-1024-1024.jpg
6054007;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-07-arcilla-x-50-ml11-6f33d8981eafef544116841725300541-1024-1024.jpg
6054008;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-08-maiz-x-50-ml11-b8cc592f693def80fb16841729617116-1024-1024.jpg
6054009;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-09-carne-claro-x-50-ml11-b25693cb4670e5cec116841729618362-1024-1024.jpg
6054010;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-10-amarillo-limon-x-50-ml11-8e533b6caa5670ba7e16841725299911-1024-1024.jpg
6054011;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-11-amarillo-medio-x-50-ml11-57bc6f5281ac62277416841729616576-1024-1024.jpg
6054012;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-12-amarillo-verdoso-x-50-ml11-fbba439edac20be30c16841729618101-1024-1024.jpg
6054013;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-13-amarillo-de-cadmio-x-50-ml11-d64bfef457bff19bcd16841725300121-1024-1024.jpg
6054014;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-14-amarillo-dorado-x-50-ml11-f7eacf4a065e26e6f916841729619820-1024-1024.jpg
